Date,Open,High,Low,Close,Adj Close,Volume
2021-08-02,0.038000,0.045000,0.038000,0.043000,0.043000,0
2021-08-09,0.045000,0.050000,0.040000,0.045000,0.045000,0
2021-08-16,0.048000,0.065000,0.040000,0.043000,0.043000,0
2021-08-23,0.043000,0.050000,0.033000,0.043000,0.043000,0
2021-08-30,0.045000,0.045000,0.035000,0.040000,0.040000,0
2021-09-06,0.035000,0.040000,0.033000,0.038000,0.038000,0
2021-09-13,0.038000,0.038000,0.028000,0.028000,0.028000,0
2021-09-20,0.030000,0.035000,0.015000,0.025000,0.025000,0
2021-09-27,0.025000,0.035000,0.020000,0.028000,0.028000,0
2021-10-04,0.030000,0.045000,0.028000,0.040000,0.040000,0
2021-10-11,0.040000,0.045000,0.038000,0.038000,0.038000,0
2021-10-18,0.043000,0.050000,0.043000,0.050000,0.050000,0
2021-10-25,0.050000,0.050000,0.043000,0.048000,0.048000,0
2021-11-01,0.048000,0.048000,0.035000,0.040000,0.040000,0
2021-11-08,0.040000,0.045000,0.035000,0.043000,0.043000,0
2021-11-15,0.040000,0.045000,0.033000,0.045000,0.045000,0
2021-11-22,0.043000,0.053000,0.038000,0.043000,0.043000,0
2021-11-29,0.043000,0.050000,0.030000,0.043000,0.043000,0
2021-12-06,0.038000,0.060000,0.038000,0.050000,0.050000,0
2021-12-13,0.045000,0.055000,0.028000,0.030000,0.030000,0
2021-12-20,0.035000,0.070000,0.033000,0.058000,0.058000,0
2021-12-27,0.063000,0.065000,0.020000,0.033000,0.033000,0
2022-01-03,0.050000,0.093000,0.050000,0.088000,0.088000,0
2022-01-10,0.088000,0.118000,0.088000,0.118000,0.118000,0
2022-01-17,0.123000,0.170000,0.123000,0.158000,0.158000,0
2022-01-24,0.165000,0.193000,0.155000,0.173000,0.173000,0
2022-01-31,0.178000,0.228000,0.170000,0.223000,0.223000,0
2022-02-07,0.220000,0.383000,0.200000,0.338000,0.338000,0
2022-02-14,0.355000,0.420000,0.308000,0.318000,0.318000,0
2022-02-21,0.320000,0.365000,0.265000,0.298000,0.298000,0
2022-02-28,0.310000,0.345000,0.273000,0.305000,0.305000,0
2022-03-07,0.315000,0.375000,0.295000,0.365000,0.365000,0
2022-03-14,0.373000,0.465000,0.353000,0.383000,0.383000,0
2022-03-21,0.380000,0.545000,0.380000,0.520000,0.520000,0
2022-03-28,0.523000,0.598000,0.488000,0.500000,0.500000,0
2022-04-04,0.500000,0.675000,0.500000,0.668000,0.668000,0
2022-04-11,0.675000,0.768000,0.673000,0.748000,0.748000,0
2022-04-18,0.750000,0.845000,0.730000,0.780000,0.780000,0
2022-04-25,0.795000,0.870000,0.770000,0.808000,0.808000,0
2022-05-02,0.795000,0.930000,0.760000,0.815000,0.815000,0
2022-05-09,0.808000,0.963000,0.773000,0.943000,0.943000,0
2022-05-16,0.943000,1.043000,0.943000,0.978000,0.978000,0
2022-05-23,0.985000,1.048000,0.978000,1.025000,1.025000,0
2022-05-30,1.038000,1.140000,1.013000,1.135000,1.135000,0
2022-06-06,1.128000,1.288000,1.128000,1.288000,1.288000,0
2022-06-13,1.335000,1.765000,1.335000,1.510000,1.510000,0
2022-06-20,1.543000,1.610000,1.455000,1.598000,1.598000,0
2022-06-27,1.603000,1.748000,1.573000,1.603000,1.603000,0
2022-07-04,1.613000,1.868000,1.603000,1.843000,1.843000,0
2022-07-11,1.853000,2.363000,1.843000,2.240000,2.240000,0
2022-07-18,2.253000,2.450000,2.248000,2.355000,2.355000,0
2022-07-25,2.390000,2.485000,2.125000,2.298000,2.298000,0
2022-08-01,2.290000,2.470000,2.263000,2.410000,2.410000,0
2022-08-08,2.433000,2.578000,2.425000,2.500000,2.500000,0
2022-08-15,2.488000,2.628000,2.445000,2.580000,2.580000,0
2022-08-22,2.585000,2.755000,2.585000,2.755000,2.755000,0
2022-08-29,2.750000,2.903000,2.750000,2.820000,2.820000,0
2022-09-05,2.823000,2.973000,2.818000,2.968000,2.968000,0
2022-09-12,2.943000,3.213000,2.943000,3.070000,3.070000,0
2022-09-19,3.070000,3.263000,3.018000,3.108000,3.108000,0
2022-09-26,3.113000,3.265000,3.098000,3.180000,3.180000,0
2022-10-03,3.165000,3.320000,3.140000,3.293000,3.293000,0
2022-10-10,3.285000,3.640000,3.283000,3.628000,3.628000,0
2022-10-17,3.600000,3.910000,3.595000,3.885000,3.885000,0
2022-10-24,3.883000,3.975000,3.860000,3.970000,3.970000,0
2022-10-31,3.950000,4.058000,3.948000,4.013000,4.013000,0
2022-11-07,4.010000,4.095000,3.948000,4.063000,4.063000,0
2022-11-14,4.078000,4.138000,4.050000,4.135000,4.135000,0
2022-11-21,4.123000,4.215000,4.083000,4.175000,4.175000,0
2022-11-28,4.175000,4.280000,4.143000,4.208000,4.208000,0
2022-12-05,4.178000,4.250000,4.105000,4.173000,4.173000,0
2022-12-12,4.175000,4.290000,4.133000,4.163000,4.163000,0
2022-12-19,4.183000,4.255000,4.148000,4.193000,4.193000,0
2022-12-26,4.198000,4.343000,4.153000,4.260000,4.260000,0
2023-01-02,4.260000,4.520000,4.225000,4.493000,4.493000,0
2023-01-09,4.490000,4.580000,4.448000,4.488000,4.488000,0
2023-01-16,4.490000,4.553000,4.400000,4.538000,4.538000,0
2023-01-23,4.533000,4.578000,4.520000,4.548000,4.548000,0
2023-01-30,4.545000,4.580000,4.455000,4.523000,4.523000,0
2023-02-06,4.533000,4.643000,4.500000,4.635000,4.635000,0
2023-02-13,4.640000,4.690000,4.633000,4.680000,4.680000,0
2023-02-20,4.680000,4.710000,4.680000,4.703000,4.703000,0
2023-02-27,4.690000,4.735000,4.648000,4.718000,4.718000,0
2023-03-06,4.718000,4.883000,4.700000,4.803000,4.803000,0
2023-03-13,4.438000,4.785000,4.248000,4.293000,4.293000,0
2023-03-20,4.258000,4.678000,4.258000,4.503000,4.503000,0
2023-03-27,4.560000,4.665000,4.400000,4.585000,4.585000,0
2023-04-03,4.618000,4.760000,4.560000,4.710000,4.710000,0
2023-04-10,4.748000,4.910000,4.650000,4.903000,4.903000,0
2023-04-17,4.893000,5.040000,4.890000,4.950000,4.950000,0
2023-04-24,4.945000,5.045000,4.843000,4.923000,4.923000,0
2023-05-01,4.928000,5.140000,4.860000,5.080000,5.080000,0
2023-05-08,5.090000,5.130000,4.995000,5.028000,5.028000,0
2023-05-15,5.035000,5.125000,4.900000,5.085000,5.085000,0
2023-05-22,5.098000,5.220000,5.000000,5.115000,5.115000,0
2023-05-29,5.110000,5.275000,5.000000,5.215000,5.215000,0
2023-06-05,5.200000,5.203000,5.085000,5.095000,5.095000,0
2023-06-12,5.098000,5.130000,5.000000,5.065000,5.065000,0
2023-06-19,5.065000,5.140000,5.000000,5.138000,5.138000,0
2023-06-26,5.138000,5.185000,5.133000,5.153000,5.153000,0
2023-07-03,5.138000,5.220000,5.128000,5.213000,5.213000,0
2023-07-10,5.208000,5.250000,5.100000,5.215000,5.215000,0
2023-07-17,5.223000,5.250000,5.100000,5.248000,5.248000,0
2023-07-24,5.253000,5.278000,5.100000,5.255000,5.255000,0
2023-07-31,5.255000,5.275000,5.218000,5.253000,5.253000,0
2023-08-07,5.245000,5.285000,5.100000,5.265000,5.265000,0
2023-08-14,5.265000,5.285000,5.265000,5.278000,5.278000,0
2023-08-21,5.278000,5.315000,5.270000,5.315000,5.315000,0
2023-08-28,5.320000,5.340000,5.220000,5.268000,5.268000,0
